position,club,name,price,owner,last_sale,demand,this_season_pts,last_season_pts,scraped_at
Midfielder,Real Madrid,Valverde,15250000,Manchester Tity,"15,390,000",0.0,0,261,2025-08-10 00:45:27
Midfielder,Villarreal,Comesaña,4760000,Manchester Tity,"4,760,000",0.0,0,183,2025-08-10 00:45:27
Midfielder,Getafe,Arambarri,5670000,Manchester Tity,"5,650,000",0.0,0,204,2025-08-10 00:45:27
Defender,Athletic,Vivian,6390000,Manchester Tity,"6,380,000",0.0,0,201,2025-08-10 00:45:27
Goalkeeper,Mallorca,Leo Román,3940000,Manchester Tity,"3,900,000",0.0,0,56,2025-08-10 00:45:27
Midfielder,Alavés,Pablo Ibáñez,1250000,Manchester Tity,"1,240,000",0.0,0,86,2025-08-10 00:45:27
Forward/Midfielder,Rayo Vallecano,De Frutos,3420000,Manchester Tity,"3,400,000",0.0,0,165,2025-08-10 00:45:27
Midfielder,Athletic,Vencedor,150000,Manchester Tity,"150,000",0.0,0,0,2025-08-10 00:45:28
Forward,Rayo Vallecano,Nteka,150000,Manchester Tity,"150,000",0.0,0,79,2025-08-10 00:45:28
Midfielder/Forward,Espanyol,Terrats,4060000,Manchester Tity,"4,040,000",0.0,0,109,2025-08-10 00:45:28
Defender,Valencia,Copete,2490000,Manchester Tity,"2,450,000",0.0,0,88,2025-08-10 00:45:28
Forward/Midfielder,Valencia,Fran Pérez,240000,Manchester Tity,"230,000",0.0,0,65,2025-08-10 00:45:28
Midfielder,Real Sociedad,Zakharyan,180000,Manchester Tity,"180,000",0.0,0,18,2025-08-10 00:45:28
Midfielder,Barcelona,Marc Casadó,2070000,Manchester Tity,"2,100,000",0.0,0,117,2025-08-10 00:45:28
Midfielder/Forward,Barcelona,Dani Olmo,9410000,Manchester Tity,"9,380,000",0.0,0,169,2025-08-10 00:45:28
Midfielder,Real Oviedo,Colombatto,2480000,Manchester Tity,"2,530,000",0.0,0,0,2025-08-10 00:45:29
Defender,Elche,Affengruber,3110000,Manchester Tity,"3,160,000",0.0,0,0,2025-08-10 00:45:31
Defender,Girona,Hugo Rincón,2260000,Manchester Tity,"2,150,000",0.0,0,0,2025-08-10 00:45:32
Forward,Getafe,Mayoral,4220000,Patsi F.C,"4,180,000",0.0,0,98,2025-08-10 00:45:32
Defender,Alavés,Jonny Castro,1840000,Patsi F.C,"1,820,000",0.0,0,0,2025-08-10 00:45:33
Defender,Valencia,Foulquier,1400000,Patsi F.C,"1,390,000",0.0,0,103,2025-08-10 00:45:33
Forward/Midfielder,Betis,Chimy Ávila,450000,Patsi F.C,"440,000",0.0,0,62,2025-08-10 00:45:33
Midfielder,Valencia,Pepelu,3980000,Patsi F.C,"3,950,000",0.0,0,122,2025-08-10 00:45:33
Goalkeeper,Barcelona,Joan García,8040000,Patsi F.C,"8,040,000",0.0,0,233,2025-08-10 00:45:33
Defender,Atlético,Le Normand,4260000,Patsi F.C,"4,240,000",0.0,0,112,2025-08-10 00:45:33
Forward/Midfielder,Espanyol,Puado,6170000,Patsi F.C,"6,110,000",0.0,0,194,2025-08-10 00:45:33
Goalkeeper,Athletic,Unai Simón,5610000,Patsi F.C,"5,590,000",0.0,0,102,2025-08-10 00:45:33
Midfielder,Elche,Febas,3120000,Patsi F.C,"3,100,000",0.0,0,0,2025-08-10 00:45:34
Forward/Midfielder,Atlético,Carlos Martín,410000,Patsi F.C,"410,000",0.0,0,88,2025-08-10 00:45:34
Defender,Rayo Vallecano,Chavarría,2700000,Patsi F.C,"2,700,000",0.0,0,144,2025-08-10 00:45:34
Forward,Levante,Carlos Álvarez,2860000,Patsi F.C,"2,890,000",0.0,0,0,2025-08-10 00:45:35
Goalkeeper,Betis,Álvaro Valles,4910000,Patsi F.C,"4,880,000",0.0,0,0,2025-08-10 00:45:37
Defender,Villarreal,Sergi Cardona,4240000,Patsi F.C,"4,210,000",0.0,0,169,2025-08-10 00:45:37
Midfielder/Forward,Villarreal,Moleiro,7640000,Patsi F.C,"7,610,000",0.0,0,174,2025-08-10 00:45:37
Midfielder,Getafe,Neyou,1760000,Patsi F.C,"1,750,000",0.0,0,126,2025-08-10 00:45:37
Midfielder,Rayo Vallecano,Pedro Díaz,3420000,Patsi F.C,"3,470,000",0.0,0,115,2025-08-10 00:45:37
Forward,Atlético,Julián Alvarez,16600000,Patsi F.C,"16,590,000",0.0,0,235,2025-08-10 00:45:37
Midfielder,Real Sociedad,Gorrotxategi,3070000,Patsi F.C,"3,020,000",0.0,0,0,2025-08-10 00:45:38
Midfielder,Real Oviedo,Luka Ilic,3140000,Patsi F.C,"3,080,000",0.0,0,0,2025-08-10 00:45:39
Defender/Midfielder,Barcelona,Eric García,2370000,Minabo de Kiev,"2,340,000",0.0,0,160,2025-08-10 00:45:39
Forward,Espanyol,Kike García,3830000,Minabo de Kiev,"3,810,000",0.0,0,198,2025-08-10 00:45:39
Defender,Real Oviedo,David Costas,360000,Minabo de Kiev,"360,000",0.0,0,0,2025-08-10 00:45:40
Forward,Celta,Iago Aspas,6900000,Minabo de Kiev,"6,880,000",0.0,0,198,2025-08-10 00:45:40
Midfielder,Alavés,Antonio Blanco,2000000,Minabo de Kiev,"1,980,000",0.0,0,123,2025-08-10 00:45:40
Midfielder,Mallorca,Antonio Sánchez,240000,Minabo de Kiev,"240,000",0.0,0,101,2025-08-10 00:45:40
Midfielder,Osasuna,Moncayola,2320000,Minabo de Kiev,"2,300,000",0.0,0,127,2025-08-10 00:45:40
Defender,Espanyol,Calero,500000,Minabo de Kiev,"480,000",0.0,0,69,2025-08-10 00:45:41
Goalkeeper,Valencia,Dimitrievski,520000,Minabo de Kiev,"530,000",0.0,0,13,2025-08-10 00:45:41
Forward,Levante,Brugué,2200000,Minabo de Kiev,"2,200,000",0.0,0,0,2025-08-10 00:45:42
Midfielder/Defender,Getafe,Javi Muñoz,1720000,Minabo de Kiev,"1,700,000",0.0,0,136,2025-08-10 00:45:42
Forward,Mallorca,Abdón Prats,150000,Minabo de Kiev,"150,000",0.0,0,61,2025-08-10 00:45:42
Midfielder,Barcelona,Gavi,3970000,Minabo de Kiev,"3,880,000",0.0,0,110,2025-08-10 00:45:42
Defender,Alavés,Tenaglia,3460000,Minabo de Kiev,"3,440,000",0.0,0,188,2025-08-10 00:45:42
Midfielder,Barcelona,Fermín,3120000,Minabo de Kiev,"3,130,000",0.0,0,149,2025-08-10 00:45:42
Forward/Midfielder,Valencia,Sergi Canós,150000,Minabo de Kiev,"150,000",0.0,0,43,2025-08-10 00:45:42
Defender,Real Sociedad,Aramburu,2790000,Minabo de Kiev,"2,750,000",0.0,0,141,2025-08-10 00:45:42
Goalkeeper,Mallorca,Bergström,150000,Minabo de Kiev,"150,000",0.0,0,0,2025-08-10 00:45:43
Midfielder,Real Oviedo,Sibo,1760000,Minabo de Kiev,"1,730,000",0.0,0,0,2025-08-10 00:45:44
Defender,Real Madrid,Dean Huijsen,10340000,Minabo de Kiev,"10,440,000",0.0,0,0,2025-08-10 00:45:45
