position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Migcampista,Alavés,Pedrosa,0,121,920.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Girona,Portu,0,85,870.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Levante,Oriol Rey,0,0,870.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Barcelona,Bardghji,0,0,860.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Copete,0,88,850.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Facundo Garcés,0,37,830.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Rayo Vallecano,Mumin,0,118,820.000,10.000,Dubte. Lesió al genoll.,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Rayo Vallecano,Balliu,0,79,780.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Atlético,Koke,0,125,770.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Urko Gonzalez,0,68,770.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Osasuna,Bretones,0,122,770.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Celta,Claudio Giráldez,0,55,760.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Elche,Bigas,0,0,750.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Getafe,Aleñá,0,86,740.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Villarreal,Diego Conde,0,97,730.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
